elapsed (s),x-axis (g),y-axis (g),z-axis (g)
7.246,-0.045,-0.613,0.813
7.369,-0.023,-0.588,0.878
7.37,-0.034,-0.566,0.756
7.37,-0.028,-0.575,0.813
7.493,-0.029,-0.541,0.846
7.493,-0.031,-0.559,0.851
7.493,-0.02,-0.473,0.898
7.606,-0.019,-0.513,0.927
7.606,0.002,-0.411,0.982
7.606,-0.016,-0.404,0.854
7.729,0.006,-0.381,0.961
7.729,-0.001,-0.338,0.966
7.729,-0.013,-0.308,1.001
7.853,-0.019,-0.246,0.928
7.853,-0.014,-0.236,1.045
7.853,-0.013,-0.151,1.039
7.976,-0.023,-0.136,1
7.977,-0.022,-0.047,1.027
7.977,-0.028,0.017,1.075
8.089,-0.033,0.041,1.039
8.089,-0.035,0.023,0.999
8.089,-0.034,0.093,1.053
8.213,-0.039,0.046,1.059
8.213,-0.061,0.102,1.082
8.213,-0.047,0.066,1.009
8.336,-0.036,0.046,1.023
8.337,-0.041,0.065,1.042
8.337,-0.041,0.048,1.03
8.461,-0.05,0.055,1.04
8.461,-0.044,0.067,1.057
8.461,-0.04,0.042,1.049
8.573,-0.05,0.042,1.035
8.573,-0.042,0,1.022
8.573,-0.038,-0.022,1.059
8.697,-0.041,-0.03,1.047
8.697,-0.039,-0.074,1.04
8.698,-0.035,-0.072,1.053
8.821,-0.035,-0.145,1.011
8.821,-0.026,-0.208,1.026
8.821,-0.027,-0.208,0.992
8.944,-0.026,-0.261,0.968
8.944,-0.022,-0.24,0.984
8.944,-0.032,-0.283,0.968
9.057,-0.026,-0.281,1.009
9.057,-0.034,-0.285,0.97
9.057,-0.033,-0.341,0.979
9.181,-0.032,-0.319,1.031
9.181,-0.05,-0.392,0.902
9.182,-0.035,-0.403,0.946
9.304,-0.045,-0.422,0.92
9.305,-0.047,-0.451,0.956
9.305,-0.051,-0.438,0.949
9.417,-0.051,-0.467,0.899
9.417,-0.043,-0.476,0.916
9.417,-0.048,-0.509,0.877
9.54,-0.043,-0.513,0.891
9.54,-0.05,-0.506,0.867
9.54,-0.048,-0.558,0.852
9.664,-0.05,-0.566,0.878
9.665,-0.06,-0.587,0.793
9.665,-0.058,-0.58,0.828
9.788,-0.054,-0.619,0.82
9.788,-0.063,-0.631,0.819
9.788,-0.051,-0.638,0.832
9.901,-0.046,-0.6,0.833
9.901,-0.051,-0.626,0.734
9.901,-0.037,-0.644,0.782
10.024,-0.055,-0.666,0.748
10.025,-0.052,-0.655,0.815
10.025,-0.059,-0.664,0.737
10.148,-0.04,-0.671,0.755
10.149,-0.047,-0.639,0.765
10.149,-0.053,-0.654,0.738
10.271,-0.038,-0.64,0.823
10.271,-0.051,-0.619,0.778
10.271,-0.04,-0.596,0.847
10.384,-0.043,-0.626,0.85
10.384,-0.039,-0.612,0.849
10.384,-0.043,-0.599,0.783
10.508,-0.039,-0.586,0.813
10.508,-0.037,-0.602,0.833
10.508,-0.041,-0.585,0.833
10.631,-0.04,-0.588,0.79
10.631,-0.037,-0.598,0.836
10.631,-0.043,-0.607,0.842
10.755,-0.042,-0.587,0.804
10.755,-0.031,-0.573,0.851
10.755,-0.041,-0.578,0.817
10.868,-0.034,-0.593,0.845
10.868,-0.043,-0.58,0.815
10.868,-0.034,-0.574,0.848
10.993,-0.036,-0.589,0.849
10.993,-0.043,-0.567,0.844
10.993,-0.042,-0.574,0.804
11.115,-0.032,-0.57,0.854
11.115,-0.037,-0.536,0.838
11.115,-0.058,-0.519,0.739
11.228,-0.036,-0.523,0.959
11.228,-0.055,-0.396,0.927
11.228,-0.054,-0.461,0.931
11.352,-0.035,-0.296,1.068
11.352,-0.067,-0.366,0.942
11.352,-0.055,-0.296,0.952
11.475,-0.067,-0.306,0.959
11.475,-0.067,-0.275,1.05
11.475,-0.068,-0.249,1.02
11.598,-0.077,-0.167,1.056
